date,day,time,inches,centimeters,tide
2013/12/31,Tue,03:10 AM,3.6,110,H
2013/12/31,Tue,09:02 AM,-0.5,-15,L
2013/12/31,Tue,03:28 PM,4.9,149,H
2013/12/31,Tue,09:55 PM,-0.8,-24,L
2014/01/01,Wed,03:55 AM,3.9,119,H
2014/01/01,Wed,09:48 AM,-0.8,-24,L
2014/01/01,Wed,04:12 PM,5.3,162,H
2014/01/01,Wed,10:37 PM,-1.1,-34,L
2014/01/02,Thu,04:39 AM,4.1,125,H
2014/01/02,Thu,10:31 AM,-0.9,-27,L
2014/01/02,Thu,04:54 PM,5.4,165,H
2014/01/02,Thu,11:19 PM,-1.2,-37,L
2014/01/03,Fri,05:21 AM,4.2,128,H
2014/01/03,Fri,11:14 AM,-0.9,-27,L
2014/01/03,Fri,05:35 PM,5.4,165,H
2014/01/03,Fri,11:59 PM,-1.1,-34,L
2014/01/04,Sat,06:02 AM,4.1,125,H
2014/01/04,Sat,11:56 AM,-0.7,-21,L
2014/01/04,Sat,06:16 PM,5.1,155,H
2014/01/05,Sun,12:40 AM,-0.9,-27,L
2014/01/05,Sun,06:45 AM,4.0,122,H
2014/01/05,Sun,12:38 PM,-0.4,-12,L
2014/01/05,Sun,06:57 PM,4.7,143,H
2014/01/06,Mon,01:21 AM,-0.6,-18,L
2014/01/06,Mon,07:29 AM,3.7,113,H
2014/01/06,Mon,01:23 PM,0.0,0,L
2014/01/06,Mon,07:39 PM,4.1,125,H
2014/01/07,Tue,02:04 AM,-0.1,-3,L
2014/01/07,Tue,08:17 AM,3.4,104,H
2014/01/07,Tue,02:14 PM,0.5,15,L
2014/01/07,Tue,08:24 PM,3.5,107,H
2014/01/08,Wed,02:51 AM,0.3,9,L
2014/01/08,Wed,09:16 AM,3.2,98,H
2014/01/08,Wed,03:19 PM,0.9,27,L
2014/01/08,Wed,09:21 PM,3.0,91,H
2014/01/09,Thu,03:51 AM,0.6,18,L
2014/01/09,Thu,10:37 AM,3.0,91,H
2014/01/09,Thu,04:59 PM,1.2,37,L
2014/01/09,Thu,10:49 PM,2.5,76,H
2014/01/10,Fri,05:14 AM,0.8,24,L
2014/01/10,Fri,12:15 PM,3.0,91,H
2014/01/10,Fri,06:56 PM,1.1,34,L
2014/01/11,Sat,12:40 AM,2.4,73,H
2014/01/11,Sat,06:41 AM,0.8,24,L
2014/01/11,Sat,01:30 PM,3.3,101,H
2014/01/11,Sat,08:09 PM,0.7,21,L
2014/01/12,Sun,01:57 AM,2.6,79,H
2014/01/12,Sun,07:46 AM,0.6,18,L
2014/01/12,Sun,02:21 PM,3.6,110,H
2014/01/12,Sun,08:54 PM,0.4,12,L
2014/01/13,Mon,02:46 AM,2.8,85,H
2014/01/13,Mon,08:32 AM,0.3,9,L
2014/01/13,Mon,03:00 PM,3.9,119,H
2014/01/13,Mon,09:28 PM,0.0,0,L
2014/01/14,Tue,03:22 AM,3.1,94,H
2014/01/14,Tue,09:10 AM,0.0,0,L
2014/01/14,Tue,03:33 PM,4.2,128,H
2014/01/14,Tue,09:58 PM,-0.3,-9,L
2014/01/15,Wed,03:54 AM,3.4,104,H
2014/01/15,Wed,09:43 AM,-0.2,-6,L
2014/01/15,Wed,04:04 PM,4.4,134,H
2014/01/15,Wed,10:26 PM,-0.5,-15,L
